Timestep,C26+Mass,percentage,Mass_total
'369000', 452.544, 0.037309191315957266, 12129.558
'370000', 905.088, 0.07461838263191453, 12129.558
'371000', 452.544, 0.037309191315957266, 12129.558
'372000', 452.544, 0.037309191315957266, 12129.558
'373000', 452.544, 0.037309191315957266, 12129.558
'374000', 452.544, 0.037309191315957266, 12129.558
'375000', 452.544, 0.037309191315957266, 12129.558
'376000', 452.544, 0.037309191315957266, 12129.558
'377000', 452.544, 0.037309191315957266, 12129.558
'378000', 452.544, 0.037309191315957266, 12129.558
'379000', 973.16196, 0.08023062010998257, 12129.558
'380000', 452.544, 0.037309191315957266, 12129.558
'381000', 452.544, 0.037309191315957266, 12129.558
'382000', 452.544, 0.037309191315957266, 12129.558
'383000', 452.544, 0.037309191315957266, 12129.558
'384000', 452.544, 0.037309191315957266, 12129.558
'385000', 452.544, 0.037309191315957266, 12129.558
'386000', 452.544, 0.037309191315957266, 12129.558
'387000', 452.544, 0.037309191315957266, 12129.558
'388000', 451.53606, 0.03722609348172456, 12129.558
'389000', 451.53606, 0.03722609348172456, 12129.558
'390000', 903.07212, 0.07445218696344912, 12129.558
'391000', 903.07212, 0.07445218696344912, 12129.558
'392000', 903.07212, 0.07445218696344912, 12129.558
'393000', 903.07212, 0.07445218696344912, 12129.558
'394000', 903.07212, 0.07445218696344912, 12129.558
'395000', 903.07212, 0.07445218696344912, 12129.558
'396000', 903.07212, 0.07445218696344912, 12129.558
'397000', 903.07212, 0.07445218696344912, 12129.558
'398000', 903.07212, 0.07445218696344912, 12129.558
'399000', 903.07212, 0.07445218696344912, 12129.558
'400000', 903.07212, 0.07445218696344912, 12129.558
'401000', 903.07212, 0.07445218696344912, 12129.558
'402000', 903.07212, 0.07445218696344912, 12129.558
'403000', 903.07212, 0.07445218696344912, 12129.558
'404000', 903.07212, 0.07445218696344912, 12129.558
'405000', 903.07212, 0.07445218696344912, 12129.558
'406000', 903.07212, 0.07445218696344912, 12129.558
'407000', 903.07212, 0.07445218696344912, 12129.558
'408000', 903.07212, 0.07445218696344912, 12129.558
'409000', 451.53606, 0.03722609348172456, 12129.558
'410000', 451.53606, 0.03722609348172456, 12129.558
'411000', 451.53606, 0.03722609348172456, 12129.558
'412000', 451.53606, 0.03722609348172456, 12129.558
'413000', 451.53606, 0.03722609348172456, 12129.558
'414000', 451.53606, 0.03722609348172456, 12129.558
'415000', 451.53606, 0.03722609348172456, 12129.558
'416000', 451.53606, 0.03722609348172456, 12129.558
'417000', 451.53606, 0.03722609348172456, 12129.558
'418000', 451.53606, 0.03722609348172456, 12129.558
'419000', 451.53606, 0.03722609348172456, 12129.558
'420000', 451.53606, 0.03722609348172456, 12129.558
'421000', 451.53606, 0.03722609348172456, 12129.558
'422000', 451.53606, 0.03722609348172456, 12129.558
'423000', 451.53606, 0.03722609348172456, 12129.558
'424000', 451.53606, 0.03722609348172456, 12129.558
'425000', 451.53606, 0.03722609348172456, 12129.558
'426000', 451.53606, 0.03722609348172456, 12129.558
'427000', 451.53606, 0.03722609348172456, 12129.558
'428000', 451.53606, 0.03722609348172456, 12129.558
'429000', 451.53606, 0.03722609348172456, 12129.558
'430000', 451.53606, 0.03722609348172456, 12129.558
'431000', 451.53606, 0.03722609348172456, 12129.558
'432000', 451.53606, 0.03722609348172456, 12129.558
'433000', 451.53606, 0.03722609348172456, 12129.558
'434000', 451.53606, 0.03722609348172456, 12129.558
'435000', 451.53606, 0.03722609348172456, 12129.558
'436000', 451.53606, 0.03722609348172456, 12129.558
'437000', 451.53606, 0.03722609348172456, 12129.558
'438000', 451.53606, 0.03722609348172456, 12129.558
'439000', 451.53606, 0.03722609348172456, 12129.558
'440000', 451.53606, 0.03722609348172456, 12129.558
'441000', 451.53606, 0.03722609348172456, 12129.558
'442000', 451.53606, 0.03722609348172456, 12129.558
'443000', 451.53606, 0.03722609348172456, 12129.558
'444000', 451.53606, 0.03722609348172456, 12129.558
'445000', 451.53606, 0.03722609348172456, 12129.558
'446000', 451.53606, 0.03722609348172456, 12129.558
'447000', 451.53606, 0.03722609348172456, 12129.558
'448000', 451.53606, 0.03722609348172456, 12129.558
'449000', 451.53606, 0.03722609348172456, 12129.558
'450000', 451.53606, 0.03722609348172456, 12129.558
'451000', 451.53606, 0.03722609348172456, 12129.558
'452000', 451.53606, 0.03722609348172456, 12129.558
'453000', 451.53606, 0.03722609348172456, 12129.558
'454000', 451.53606, 0.03722609348172456, 12129.558
'455000', 451.53606, 0.03722609348172456, 12129.558
'456000', 978.16014, 0.08064268623803109, 12129.558
'457000', 978.16014, 0.08064268623803109, 12129.558
'458000', 978.16014, 0.08064268623803109, 12129.558
'459000', 978.16014, 0.08064268623803109, 12129.558
'460000', 978.16014, 0.08064268623803109, 12129.558
'461000', 978.16014, 0.08064268623803109, 12129.558
'462000', 978.16014, 0.08064268623803109, 12129.558
'463000', 978.16014, 0.08064268623803109, 12129.558
'464000', 978.16014, 0.08064268623803109, 12129.558
'465000', 451.53606, 0.03722609348172456, 12129.558
'466000', 978.16014, 0.08064268623803109, 12129.558
'467000', 978.16014, 0.08064268623803109, 12129.558
'468000', 978.16014, 0.08064268623803109, 12129.558
'469000', 451.53606, 0.03722609348172456, 12129.558
'470000', 451.53606, 0.03722609348172456, 12129.558
'471000', 451.53606, 0.03722609348172456, 12129.558
'472000', 451.53606, 0.03722609348172456, 12129.558
'473000', 451.53606, 0.03722609348172456, 12129.558
'474000', 451.53606, 0.03722609348172456, 12129.558
'475000', 451.53606, 0.03722609348172456, 12129.558
'476000', 451.53606, 0.03722609348172456, 12129.558
'477000', 451.53606, 0.03722609348172456, 12129.558
'478000', 451.53606, 0.03722609348172456, 12129.558
'479000', 451.53606, 0.03722609348172456, 12129.558
